,sample.id,EV1,EV2,EV3,EV4,Cultivar,Check_fastq,Type,_,HCPC
35,sorted_bam/SRR2584262_1_sorted.bam,0.208901457,-0.21706127,-0.196892829,0.100672251,GrandDaddyPurple,SRR2584262,Type I,_,GrandDaddyPurple_SRR2584262_Type I
36,sorted_bam/SRR2584265_1_sorted.bam,0.008836948,0.065543595,0.136471982,0.183172306,GreenCrack,SRR2584265,Type I,_,GreenCrack_SRR2584265_Type I
37,sorted_bam/SRR2584267_1_sorted.bam,0.088282614,0.072894791,0.002597856,-0.030504067,Holland1R,SRR2584267,Unknown,_,Holland1R_SRR2584267_Unknown
38,sorted_bam/SRR2584269_1_sorted.bam,0.035856555,-0.06384329,0.131872933,0.248039358,Kandy Kush_5,SRR2584269,Type I,_,Kandy Kush_5_SRR2584269_Type I
39,sorted_bam/SRR2584271_1_sorted.bam,-0.018497438,0.137025742,0.085983121,0.09617335,LAConfidentialprep1,SRR2584271,Type I,_,LAConfidentialprep1_SRR2584271_Type I
40,sorted_bam/SRR2584273_1_sorted.bam,0.198573272,-0.072766138,0.24098025,-0.096765924,Lester Grinspoon_2,SRR2584273,Type I,_,Lester Grinspoon_2_SRR2584273_Type I
41,sorted_bam/SRR2584275_1_sorted.bam,0.179829537,0.169755971,-0.275256775,0.015538389,AutoWidow,SRR2584275,Type I,_,AutoWidow_SRR2584275_Type I
42,sorted_bam/SRR2584276_1_sorted.bam,0.167632604,0.013824501,-0.163162273,0.212589495,NYCDiesel_1,SRR2584276,Type I,_,NYCDiesel_1_SRR2584276_Type I
43,sorted_bam/SRR2584278_1_sorted.bam,0.158349326,0.10013342,-0.222171227,-0.084643184,NYCDiesel_2,SRR2584278,Type I,_,NYCDiesel_2_SRR2584278_Type I
44,sorted_bam/SRR2584280_1_sorted.bam,0.06559697,0.076442091,0.204500474,0.026718633,OGKush,SRR2584280,Type I,_,OGKush_SRR2584280_Type I
