,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,HCPC,,
24,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/DakiniKushMale_sorted.bam,0.064085213,0.075366121,0.127584636,-0.273997604,DakiniKushMale,Type I,DakiniKushMale_Type I,_,_
25,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/DeepPurpleHaze_sorted.bam,-0.026109077,0.040498646,-0.02904558,-0.049067017,DeepPurpleHaze,Type I,DeepPurpleHaze_Type I,_,_
26,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/DiamondGirl_sorted.bam,-0.215708541,-0.215680365,-0.042770143,0.05362884,DiamondGirl,Type I,DiamondGirl_Type I,_,_
27,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/FireOG_sorted.bam,0.000956174,-0.001886689,-0.000899361,-0.001061425,FireOG,Type I,FireOG_Type I,_,_
28,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/G4XSFMSCC_sorted.bam,0.344625366,-0.245621845,-0.048318179,-0.031609969,G4XSFMSCC,Unknown,G4XSFMSCC_Unknown,_,_
29,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/GirlScoutCookie_sorted.bam,0.004779425,0.016169604,-0.132141417,-0.066315129,GirlScoutCookie,Type I,GirlScoutCookie_Type I,_,_
30,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/GrapeStomper_sorted.bam,-0.030573147,0.019913575,-0.115141722,-0.122741213,GrapeStomper,Type I,GrapeStomper_Type I,_,_
31,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/GreenCrackSCC_sorted.bam,-0.136597121,-0.088705506,0.178849982,0.219198697,GreenCrackSCC,Type I,GreenCrackSCC_Type I,_,_
32,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/Haleys_sorted.bam,0.014300402,0.063864214,-0.073539135,-0.005336985,Haleys,Type I,Haleys_Type I,_,_
33,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/JackHerer_sorted.bam,-0.191436772,-0.199568019,-0.034935489,-0.035413298,JackHerer,Type I,JackHerer_Type I,_,_
34,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/JambaCity_sorted.bam,0.004703379,0.001137697,-0.002113053,0.009973577,JambaCity,Type I,JambaCity_Type I,_,_
35,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/KushITSCC_sorted.bam,-0.069401886,-0.048990512,0.316607721,0.304657394,KushITSCC,Type I,KushITSCC_Type I,_,_
