,sample.id,EV1,EV2,EV3,EV4,,,,,Type,Cultivar,,Group,core,Phylos_type,Type_final
303,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Glacier_Goo_a1_SRR4448257_1_THC_Dominant_sorted.bam,0.0104749,-0.0015571,0.03554008,0.05095924,Glacier_Goo_a1,_,SRR4448257_1,_,Type_I_,Glacier_Goo_a1_SRR4448257_1_Type_I_,Glacier_Goo_a1_SRR4448257_1_Type_I_,Group 1,,Landrace,Landrace
448,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Laughing_Buddha_a1_SRR4448282_1_THC_Dominant_sorted.bam,0.01229964,-0.0114177,-0.001537,0.01639177,Laughing_Buddha_a1,_,SRR4448282_1,_,Type_I_,Laughing_Buddha_a1_SRR4448282_1_Type_I_,Laughing_Buddha_a1_SRR4448282_1_Type_I_,Group 1,core 11,Landrace,Landrace
223,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Court_Collars_Cough_a1_SRR4448289_1_UNKNOWN_sorted.bam,0.01872628,-0.0127893,0.04287488,-0.0057683,Court_Collars_Cough_a1,_,SRR4448289_1,_,UNKNOWN,Court_Collars_Cough_a1_SRR4448289_1_UNKNOWN,Court_Collars_Cough_a1_SRR4448289_1_UNKNOWN,Group 2,,Landrace,Landrace
408,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Kandy_Kush_a1_SRR4448363_1_THC_Dominant_sorted.bam,0.02049443,-0.0111005,0.0243768,0.05065531,Kandy_Kush_a1,_,SRR4448363_1,_,Type_I_,Kandy_Kush_a1_SRR4448363_1_Type_I_,Kandy_Kush_a1_SRR4448363_1_Type_I_,Group 1,,Landrace,Landrace
327,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Grape_God_A_a1_SRR4448384_1_THC_Dominant_sorted.bam,0.01432247,-0.0080883,0.03084523,-0.0073442,Grape_God_A_a1,_,SRR4448384_1,_,Type_I_,Grape_God_A_a1_SRR4448384_1_Type_I_,Grape_God_A_a1_SRR4448384_1_Type_I_,Group 2,,Landrace,Landrace
519,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/NLM_a1_SRR4448391_1_UNKNOWN_sorted.bam,0.01988902,-0.0142341,0.04026781,-0.0088961,NLM_a1,_,SRR4448391_1,_,UNKNOWN,NLM_a1_SRR4448391_1_UNKNOWN,NLM_a1_SRR4448391_1_UNKNOWN,Group 2,,Landrace,Landrace
737,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Super_Silver_Haze_b1_SRR4448396_1_THC_Dominant_sorted.bam,0.03720293,0.00351946,0.02013454,-0.0064547,Super_Silver_Haze_b1,_,SRR4448396_1,_,Type_I_,Super_Silver_Haze_b1_SRR4448396_1_Type_I_,Super_Silver_Haze_b1_SRR4448396_1_Type_I_,Group 2,,Landrace,Landrace
242,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Dog_shit_a1_SRR4448482_1_THC_Dominant_sorted.bam,0.03645882,-0.0049543,0.02752125,-0.0092365,Dog_shit_a1,_,SRR4448482_1,_,Type_I_,Dog_shit_a1_SRR4448482_1_Type_I_,Dog_shit_a1_SRR4448482_1_Type_I_,Group 2,,Landrace,Landrace
762,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Thai_a1_SRR4448519_1_THC_Dominant_sorted.bam,0.0249428,-0.0194216,0.03741762,0.06346377,Thai_a1,_,SRR4448519_1,_,Type_I_,Thai_a1_SRR4448519_1_Type_I_,Thai_a1_SRR4448519_1_Type_I_,Group 1,,Landrace,Landrace
844,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Zambia_a1_SRR4448563_1_LANDRACE_sorted.bam,0.01336172,-0.0071398,0.04269918,0.03918486,Zambia_a1,_,SRR4448563_1,_,LANDRACE,Zambia_a1_SRR4448563_1_LANDRACE,Zambia_a1_SRR4448563_1_LANDRACE,Group 1,,Landrace,Landrace
558,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Panama_a1_SRR4448564_1_THC_Dominant_sorted.bam,0.01783193,-0.0135983,0.04520651,0.06150505,Panama_a1,_,SRR4448564_1,_,Type_I_,Panama_a1_SRR4448564_1_Type_I_,Panama_a1_SRR4448564_1_Type_I_,Group 1,,Landrace,Landrace
845,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Zambia_b1_SRR4448565_1_LANDRACE_sorted.bam,0.0157105,-0.0057794,0.04375684,0.04335645,Zambia_b1,_,SRR4448565_1,_,LANDRACE,Zambia_b1_SRR4448565_1_LANDRACE,Zambia_b1_SRR4448565_1_LANDRACE,Group 1,,Landrace,Landrace
269,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Ethiopian_1_a1_SRR4448567_1_LANDRACE_sorted.bam,0.02074862,-0.0199158,0.03381491,0.03127913,Ethiopian_1_a1,_,SRR4448567_1,_,LANDRACE,Ethiopian_1_a1_SRR4448567_1_LANDRACE,Ethiopian_1_a1_SRR4448567_1_LANDRACE,Group 1,,Landrace,Landrace
334,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Guatemala_Quetzalita_a1_SRR4448568_1_LANDRACE_sorted.bam,0.02229551,0.00910703,0.03907831,-0.0017393,Guatemala_Quetzalita_a1,_,SRR4448568_1,_,LANDRACE,Guatemala_Quetzalita_a1_SRR4448568_1_LANDRACE,Guatemala_Quetzalita_a1_SRR4448568_1_LANDRACE,Group 2,,Landrace,Landrace
699,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/South_Africa_a1_SRR4448581_1_LANDRACE_sorted.bam,0.01756086,-0.002916,0.03120209,0.04518524,South_Africa_a1,_,SRR4448581_1,_,LANDRACE,South_Africa_a1_SRR4448581_1_LANDRACE,South_Africa_a1_SRR4448581_1_LANDRACE,Group 1,,Landrace,Landrace
469,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Malawi_a1_SRR4448583_1_LANDRACE_sorted.bam,0.03127775,-0.0280296,0.02202618,0.04432949,Malawi_a1,_,SRR4448583_1,_,LANDRACE,Malawi_a1_SRR4448583_1_LANDRACE,Malawi_a1_SRR4448583_1_LANDRACE,Group 1,,Landrace,Landrace
553,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Pakistan_a1_SRR4448584_1_LANDRACE_sorted.bam,0.00558485,-0.0009105,0.01613006,0.04505909,Pakistan_a1,_,SRR4448584_1,_,LANDRACE,Pakistan_a1_SRR4448584_1_LANDRACE,Pakistan_a1_SRR4448584_1_LANDRACE,Group 1,,Landrace,Landrace
374,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/India_a1_SRR4448586_1_LANDRACE_sorted.bam,0.00953636,0.00345961,0.03696296,0.05113509,India_a1,_,SRR4448586_1,_,LANDRACE,India_a1_SRR4448586_1_LANDRACE,India_a1_SRR4448586_1_LANDRACE,Group 1,,Landrace,Landrace
375,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/India_b1_SRR4448587_1_LANDRACE_sorted.bam,0.01158822,-0.0131201,0.04256307,0.0395783,India_b1,_,SRR4448587_1,_,LANDRACE,India_b1_SRR4448587_1_LANDRACE,India_b1_SRR4448587_1_LANDRACE,Group 1,,Landrace,Landrace
140,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Cambodia_a1_SRR4448588_1_LANDRACE_sorted.bam,0.02299926,-0.0163498,0.04011283,0.05531021,Cambodia_a1,_,SRR4448588_1,_,LANDRACE,Cambodia_a1_SRR4448588_1_LANDRACE,Cambodia_a1_SRR4448588_1_LANDRACE,Group 1,,Landrace,Landrace
509,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Nepal_a1_SRR4448589_1_LANDRACE_sorted.bam,0.01641834,0.01026273,0.04687454,0.01191654,Nepal_a1,_,SRR4448589_1,_,LANDRACE,Nepal_a1_SRR4448589_1_LANDRACE,Nepal_a1_SRR4448589_1_LANDRACE,Group 2,,Landrace,Landrace
376,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/India_c1_SRR4448590_1_LANDRACE_sorted.bam,0.01554341,-0.007139,0.01841524,0.03148186,India_c1,_,SRR4448590_1,_,LANDRACE,India_c1_SRR4448590_1_LANDRACE,India_c1_SRR4448590_1_LANDRACE,Group 1,,Landrace,Landrace
576,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Pigmy_PotCongo_Pointe_Noire_a1_SRR4448625_1_THC_Dominant_sorted.bam,0.02396317,-0.0174796,0.03996035,0.05261538,Pigmy_PotCongo_Pointe_Noire_a1,_,SRR4448625_1,_,Type_I_,Pigmy_PotCongo_Pointe_Noire_a1_SRR4448625_1_Type_I_,Pigmy_PotCongo_Pointe_Noire_a1_SRR4448625_1_Type_I_,Group 1,,Landrace,Landrace
497,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Mexican_a1_SRR4448649_1_LANDRACE_sorted.bam,0.00363062,-0.0070313,0.01513715,0.03549595,Mexican_a1,_,SRR4448649_1,_,LANDRACE,Mexican_a1_SRR4448649_1_LANDRACE,Mexican_a1_SRR4448649_1_LANDRACE,Group 1,,Landrace,Landrace
13,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/9_mile_a1_SRR4448658_1_LANDRACE_sorted.bam,0.02514808,0.00017613,0.04078605,0.05208848,9_mile_a1,_,SRR4448658_1,_,LANDRACE,9_mile_a1_SRR4448658_1_LANDRACE,9_mile_a1_SRR4448658_1_LANDRACE,Group 1,,Landrace,Landrace
758,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Tanzanian_A_a1_SRR4448665_1_LANDRACE_sorted.bam,0.01732054,-0.0137365,0.03595035,0.03928101,Tanzanian_A_a1,_,SRR4448665_1,_,LANDRACE,Tanzanian_A_a1_SRR4448665_1_LANDRACE,Tanzanian_A_a1_SRR4448665_1_LANDRACE,Group 1,,Landrace,Landrace
482,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Markant_Hemp_a1_SRR4448673_1_Hemp_sorted.bam,0.00557194,0.00395963,0.03837773,0.0201386,Markant_Hemp_a1,_,SRR4448673_1,_,Hemp,Markant_Hemp_a1_SRR4448673_1_Hemp,Markant_Hemp_a1_SRR4448673_1_Hemp,Group 1,,Landrace,Landrace
385,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Ivory_Hemp_a1_SRR4448674_1_Hemp_sorted.bam,-0.0020217,-0.0026184,0.05237679,0.02836937,Ivory_Hemp_a1,_,SRR4448674_1,_,Hemp,Ivory_Hemp_a1_SRR4448674_1_Hemp,Ivory_Hemp_a1_SRR4448674_1_Hemp,Group 1,,Landrace,Landrace
447,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Laspur_Gold_Pakistan_a1_SRR4448675_1_LANDRACE_sorted.bam,-0.002518,-0.0029871,0.01494293,0.03723781,Laspur_Gold_Pakistan_a1,_,SRR4448675_1,_,LANDRACE,Laspur_Gold_Pakistan_a1_SRR4448675_1_LANDRACE,Laspur_Gold_Pakistan_a1_SRR4448675_1_LANDRACE,Group 1,,Landrace,Landrace
838,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Yarkhun_WS_a1_SRR4448676_1_LANDRACE_sorted.bam,0.00210062,-0.0004486,0.00624095,0.04050991,Yarkhun_WS_a1,_,SRR4448676_1,_,LANDRACE,Yarkhun_WS_a1_SRR4448676_1_LANDRACE,Yarkhun_WS_a1_SRR4448676_1_LANDRACE,Group 1,,Landrace,Landrace
554,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Pakistan_b1_SRR4448677_1_LANDRACE_sorted.bam,0.01077866,-0.0091337,0.0057792,0.01975902,Pakistan_b1,_,SRR4448677_1,_,LANDRACE,Pakistan_b1_SRR4448677_1_LANDRACE,Pakistan_b1_SRR4448677_1_LANDRACE,Group 1,,Landrace,Landrace
740,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Swaziland_great_a1_SRR4448678_1_LANDRACE_sorted.bam,0.02609915,-0.0147576,0.00499368,0.026966,Swaziland_great_a1,_,SRR4448678_1,_,LANDRACE,Swaziland_great_a1_SRR4448678_1_LANDRACE,Swaziland_great_a1_SRR4448678_1_LANDRACE,Group 1,,Landrace,Landrace
555,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Pakistan_c1_SRR4448679_1_LANDRACE_sorted.bam,0.00245801,0.01165847,0.01045981,0.04455785,Pakistan_c1,_,SRR4448679_1,_,LANDRACE,Pakistan_c1_SRR4448679_1_LANDRACE,Pakistan_c1_SRR4448679_1_LANDRACE,Group 1,,Landrace,Landrace
479,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Mango_Zamal_a1_SRR4448687_1_LANDRACE_sorted.bam,0.00712574,-0.0061418,-0.0054328,0.02541535,Mango_Zamal_a1,_,SRR4448687_1,_,LANDRACE,Mango_Zamal_a1_SRR4448687_1_LANDRACE,Mango_Zamal_a1_SRR4448687_1_LANDRACE,Group 1,,Landrace,Landrace
444,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Laos_a1_SRR4448688_1_LANDRACE_sorted.bam,0.01764634,-0.0160628,0.03304283,0.04776317,Laos_a1,_,SRR4448688_1,_,LANDRACE,Laos_a1_SRR4448688_1_LANDRACE,Laos_a1_SRR4448688_1_LANDRACE,Group 1,,Landrace,Landrace
366,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Hmong_Thailand_a1_SRR4448701_1_LANDRACE_sorted.bam,0.01755818,0.00526467,0.03277893,0.01634565,Hmong_Thailand_a1,_,SRR4448701_1,_,LANDRACE,Hmong_Thailand_a1_SRR4448701_1_LANDRACE,Hmong_Thailand_a1_SRR4448701_1_LANDRACE,Group 1,,Landrace,Landrace
598,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/PN_Columbia_Pelo_Naranja_a1_SRR4448703_1_LANDRACE_sorted.bam,0.0191132,-0.0125602,0.04291103,0.05461802,PN_Columbia_Pelo_Naranja_a1,_,SRR4448703_1,_,LANDRACE,PN_Columbia_Pelo_Naranja_a1_SRR4448703_1_LANDRACE,PN_Columbia_Pelo_Naranja_a1_SRR4448703_1_LANDRACE,Group 1,,Landrace,Landrace
384,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Isaan_Thailand_a1_SRR4448704_1_LANDRACE_sorted.bam,0.009542,-0.012304,0.03729891,0.03499643,Isaan_Thailand_a1,_,SRR4448704_1,_,LANDRACE,Isaan_Thailand_a1_SRR4448704_1_LANDRACE,Isaan_Thailand_a1_SRR4448704_1_LANDRACE,Group 1,,Landrace,Landrace
514,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/New_Caledonia_a1_SRR4448705_1_LANDRACE_sorted.bam,0.02616593,-0.0145649,0.04064735,0.03785711,New_Caledonia_a1,_,SRR4448705_1,_,LANDRACE,New_Caledonia_a1_SRR4448705_1_LANDRACE,New_Caledonia_a1_SRR4448705_1_LANDRACE,Group 1,,Landrace,Landrace
214,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Colombia_Taganga_a1_SRR4448706_1_LANDRACE_sorted.bam,0.01148683,-0.0227249,0.03451447,0.04443515,Colombia_Taganga_a1,_,SRR4448706_1,_,LANDRACE,Colombia_Taganga_a1_SRR4448706_1_LANDRACE,Colombia_Taganga_a1_SRR4448706_1_LANDRACE,Group 1,,Landrace,Landrace
508,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Nepal_2010_a1_SRR4448708_1_LANDRACE_sorted.bam,0.00962229,0.00621621,0.03339565,0.04178596,Nepal_2010_a1,_,SRR4448708_1,_,LANDRACE,Nepal_2010_a1_SRR4448708_1_LANDRACE,Nepal_2010_a1_SRR4448708_1_LANDRACE,Group 1,,Landrace,Landrace
212,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Colombian_20s_a1_SRR4448710_1_LANDRACE_sorted.bam,0.00760143,-0.0174801,0.04131702,0.0452788,Colombian_20s_a1,_,SRR4448710_1,_,LANDRACE,Colombian_20s_a1_SRR4448710_1_LANDRACE,Colombian_20s_a1_SRR4448710_1_LANDRACE,Group 1,,Landrace,Landrace
560,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Panama_Standard_a1_SRR4448725_1_THC_Dominant_sorted.bam,0.0366798,0.01833056,0.03356643,-0.0334568,Panama_Standard_a1,_,SRR4448725_1,_,Type_I_,Panama_Standard_a1_SRR4448725_1_Type_I_,Panama_Standard_a1_SRR4448725_1_Type_I_,Group 2,,Landrace,Landrace
499,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Mexico_Oaxaca_a1_SRR4448726_1_LANDRACE_sorted.bam,0.02476337,-0.0215904,0.03245192,0.03146504,Mexico_Oaxaca_a1,_,SRR4448726_1,_,LANDRACE,Mexico_Oaxaca_a1_SRR4448726_1_LANDRACE,Mexico_Oaxaca_a1_SRR4448726_1_LANDRACE,Group 1,,Landrace,Landrace
60,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Angola_Fem_2004_a1_SRR4448727_1_LANDRACE_sorted.bam,0.00219158,-0.0180021,0.04406522,0.03550125,Angola_Fem_2004_a1,_,SRR4448727_1,_,LANDRACE,Angola_Fem_2004_a1_SRR4448727_1_LANDRACE,Angola_Fem_2004_a1_SRR4448727_1_LANDRACE,Group 1,,Landrace,Landrace
516,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Nicaragua_4_a1_SRR4448728_1_LANDRACE_sorted.bam,0.01951682,-0.0027627,0.05065788,0.04095596,Nicaragua_4_a1,_,SRR4448728_1,_,LANDRACE,Nicaragua_4_a1_SRR4448728_1_LANDRACE,Nicaragua_4_a1_SRR4448728_1_LANDRACE,Group 1,,Landrace,Landrace
564,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Papua_New_Guinea_a1_SRR4448729_1_LANDRACE_sorted.bam,0.02392197,-0.0075308,0.03919269,0.03523875,Papua_New_Guinea_a1,_,SRR4448729_1,_,LANDRACE,Papua_New_Guinea_a1_SRR4448729_1_LANDRACE,Papua_New_Guinea_a1_SRR4448729_1_LANDRACE,Group 1,,Landrace,Landrace
270,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Ethiopian_4_a1_SRR4448730_1_LANDRACE_sorted.bam,0.01668815,-0.0050988,0.03037042,0.05285078,Ethiopian_4_a1,_,SRR4448730_1,_,LANDRACE,Ethiopian_4_a1_SRR4448730_1_LANDRACE,Ethiopian_4_a1_SRR4448730_1_LANDRACE,Group 1,,Landrace,Landrace
660,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Senegal_a1_SRR4448731_1_LANDRACE_sorted.bam,0.01419841,0.02987584,0.01099857,0.04881534,Senegal_a1,_,SRR4448731_1,_,LANDRACE,Senegal_a1_SRR4448731_1_LANDRACE,Senegal_a1_SRR4448731_1_LANDRACE,Group 1,,Landrace,Landrace
498,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Mexico_Oaxaca_79_S1_a1_SRR4448732_1_LANDRACE_sorted.bam,0.0193935,-0.0079739,0.02787993,0.03442173,Mexico_Oaxaca_79_S1_a1,_,SRR4448732_1,_,LANDRACE,Mexico_Oaxaca_79_S1_a1_SRR4448732_1_LANDRACE,Mexico_Oaxaca_79_S1_a1_SRR4448732_1_LANDRACE,Group 1,,Landrace,Landrace
567,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Paraguay_1_a1_SRR4448733_1_LANDRACE_sorted.bam,0.03438027,-0.0046892,0.03723417,0.00130919,Paraguay_1_a1,_,SRR4448733_1,_,LANDRACE,Paraguay_1_a1_SRR4448733_1_LANDRACE,Paraguay_1_a1_SRR4448733_1_LANDRACE,Group 2,,Landrace,Landrace
463,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/LINE_43_178_Romania_a1_SRR4448744_1_UNKNOWN_sorted.bam,0.00740208,-0.0008353,0.03796673,0.05410138,LINE_43_178_Romania_a1,_,SRR4448744_1,_,UNKNOWN,LINE_43_178_Romania_a1_SRR4448744_1_UNKNOWN,LINE_43_178_Romania_a1_SRR4448744_1_UNKNOWN,Group 1,,Landrace,Landrace
407,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Kalinga_Philippines_a1_SRR4448747_1_LANDRACE_sorted.bam,0.0314774,0.01226797,0.02339114,-0.0074146,Kalinga_Philippines_a1,_,SRR4448747_1,_,LANDRACE,Kalinga_Philippines_a1_SRR4448747_1_LANDRACE,Kalinga_Philippines_a1_SRR4448747_1_LANDRACE,Group 2,,Landrace,Landrace
559,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Panama_b1_SRR4448750_1_LANDRACE_sorted.bam,0.01036353,-0.0322488,-0.0088009,0.04303793,Panama_b1,_,SRR4448750_1,_,LANDRACE,Panama_b1_SRR4448750_1_LANDRACE,Panama_b1_SRR4448750_1_LANDRACE,Group 4,,Landrace,Landrace
367,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Hokkaido_Japan_a1_SRR4448751_1_Hemp_sorted.bam,0.00639566,-0.0027757,0.03645723,0.02934246,Hokkaido_Japan_a1,_,SRR4448751_1,_,Hemp,Hokkaido_Japan_a1_SRR4448751_1_Hemp,Hokkaido_Japan_a1_SRR4448751_1_Hemp,Group 1,,Landrace,Landrace
772,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Tian_Shui_Giansu_China_a1_SRR4448753_1_LANDRACE_sorted.bam,0.01145361,0.00513624,0.01978099,0.03472562,Tian_Shui_Giansu_China_a1,_,SRR4448753_1,_,LANDRACE,Tian_Shui_Giansu_China_a1_SRR4448753_1_LANDRACE,Tian_Shui_Giansu_China_a1_SRR4448753_1_LANDRACE,Group 1,,Landrace,Landrace
477,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Mangobiche_Colombia_a1_SRR4448759_1_LANDRACE_sorted.bam,0.01133691,-0.0216055,0.04571429,0.055074,Mangobiche_Colombia_a1,_,SRR4448759_1,_,LANDRACE,Mangobiche_Colombia_a1_SRR4448759_1_LANDRACE,Mangobiche_Colombia_a1_SRR4448759_1_LANDRACE,Group 1,,Landrace,Landrace
565,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Papua_New_Guinea_b1_SRR4448762_1_LANDRACE_sorted.bam,0.02401043,-0.0050957,0.04231079,0.04840966,Papua_New_Guinea_b1,_,SRR4448762_1,_,LANDRACE,Papua_New_Guinea_b1_SRR4448762_1_LANDRACE,Papua_New_Guinea_b1_SRR4448762_1_LANDRACE,Group 1,,Landrace,Landrace
296,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Ghana_a1_SRR4448763_1_LANDRACE_sorted.bam,0.01720547,-0.014344,0.04834565,0.04165574,Ghana_a1,_,SRR4448763_1,_,LANDRACE,Ghana_a1_SRR4448763_1_LANDRACE,Ghana_a1_SRR4448763_1_LANDRACE,Group 1,,Landrace,Landrace
210,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Colombia_a1_SRR4448764_1_LANDRACE_sorted.bam,0.02218931,-0.0149522,0.05053541,0.05681145,Colombia_a1,_,SRR4448764_1,_,LANDRACE,Colombia_a1_SRR4448764_1_LANDRACE,Colombia_a1_SRR4448764_1_LANDRACE,Group 1,,Landrace,Landrace
763,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Thailand_a1_SRR4448766_1_LANDRACE_sorted.bam,0.02004988,-0.0148837,0.02223285,0.04854536,Thailand_a1,_,SRR4448766_1,_,LANDRACE,Thailand_a1_SRR4448766_1_LANDRACE,Thailand_a1_SRR4448766_1_LANDRACE,Group 1,,Landrace,Landrace
418,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Kazakhstan_a1_SRR4448767_1_LANDRACE_sorted.bam,0.00783804,-0.0029055,0.04000356,0.02611057,Kazakhstan_a1,_,SRR4448767_1,_,LANDRACE,Kazakhstan_a1_SRR4448767_1_LANDRACE,Kazakhstan_a1_SRR4448767_1_LANDRACE,Group 1,,Landrace,Landrace
