,name,check,BAR
148,Green_Crack_2_Type I,Green_Crack_2,Type I
149,Pink_Lady_Type I,Pink_Lady,Type I
150,Jack_Flash_Type I,Jack_Flash,Type I
151,Holy_Grail_2_Type I,Holy_Grail_2,Type I
152,L.B.K_Type I,L.B.K,Type I
153,Gin_1_Unknown,Gin_1,Unknown
154,DMN−1_Unknown,DMN-1,Unknown
155,Phantom_Cookies_Type I,Phantom_Cookies,Type I
156,Afghan_Skunk_Kush_Type I,Afghan_Skunk_Kush,Type I
157,CBD_God_Type III,CBD_God,Type III
158,Kool_Aid_Kush_Type I,Kool_Aid_Kush,Type I
159,Cripped_Out_Cookies_Type I,Cripped_Out_Cookies,Type I
160,MKLA_Type I,MKLA,Type I
161,Mango_Stomper_Type I,Mango_Stomper,Type I
162,Cherry_Afghan_Type I,Cherry,Type I
