,sample.id,EV1,EV2,EV3,EV4,SRR Number,Cultivar,Type ,Phlyostype,Cultivar_full,,
1132,sorted_bam/SRR8349189_sorted.bam,0.006189401,0.010138618,0.021747629,0.020021291,SRR8349189,Jaegermeister_PGT_88176,Type I,Berry,Jaegermeister_PGT_88176_Type I_Berry_SRR8349189,,_
71,sorted_bam/SRR8346453_sorted.bam,0.00516884,0.026949977,0.031608928,0.023610301,SRR8346453,JMO_PGT_126680,Type I,Berry,JMO_PGT_126680_Type I_Berry_SRR8346453,,_
75,sorted_bam/SRR8346457_sorted.bam,-0.018379856,-0.015848776,-0.005105399,-0.00412427,SRR8346457,Key_Lime_Pie_PGT_115279,Type I,Berry,Key_Lime_Pie_PGT_115279_Type I_Berry_SRR8346457,,_
601,sorted_bam/SRR8346983_sorted.bam,0.016648167,0.00480507,0.070289218,-0.009959984,SRR8346983,Lemon_Tree_PGT_132691,Type I,Berry,Lemon_Tree_PGT_132691_Type I_Berry_SRR8346983,,_
650,sorted_bam/SRR8347032_sorted.bam,-0.008544536,-0.027705457,-0.003642413,-0.005392484,SRR8347032,Lotus_12_PGT_179987,Type I,Berry,Lotus_12_PGT_179987_Type I_Berry_SRR8347032,,_
1103,sorted_bam/SRR8349160_sorted.bam,-0.00168083,-0.035213058,-0.0209007,-0.048325813,SRR8349160,Lotus_5_PGT_198225,Type I,Berry,Lotus_5_PGT_198225_Type I_Berry_SRR8349160,,_
706,sorted_bam/SRR8347088_sorted.bam,0.007790973,0.021578575,0.062123146,-0.029340983,SRR8347088,Magnum_Opus_PGT_119523,Type I,Berry,Magnum_Opus_PGT_119523_Type I_Berry_SRR8347088,,_
256,sorted_bam/SRR8346638_sorted.bam,0.024008039,-0.001376326,0.00645223,0.006527704,SRR8346638,Marmalade_5_PGT_180002,Type I,Berry,Marmalade_5_PGT_180002_Type I_Berry_SRR8346638,,_
58,sorted_bam/SRR8346440_sorted.bam,0.015974117,0.006312611,-0.000541639,0.001835509,SRR8346440,Mary_Chino_41_PGT_147518,Type I,Berry,Mary_Chino_41_PGT_147518_Type I_Berry_SRR8346440,,_
784,sorted_bam/SRR8347166_sorted.bam,-0.029225307,0.038535069,0.029461695,0.027667866,SRR8347166,Medusa_PGT_14077,Type I,Berry,Medusa_PGT_14077_Type I_Berry_SRR8347166,,_
230,sorted_bam/SRR8346612_sorted.bam,0.004831078,-0.007789517,0.062232179,0.009046721,SRR8346612,Mendo_Breath_PGT_112184,Type I,Berry,Mendo_Breath_PGT_112184_Type I_Berry_SRR8346612,,_
249,sorted_bam/SRR8346631_sorted.bam,-0.013866533,0.010739853,0.106599751,0.029965851,SRR8346631,Mendo_Breath_PGT_147568,Type I,Berry,Mendo_Breath_PGT_147568_Type I_Berry_SRR8346631,,_
1055,sorted_bam/SRR8349112_sorted.bam,-0.011866021,0.017039735,0.040574432,0.026089604,SRR8349112,Mendo_Breath_PGT_20100,Type I,Berry,Mendo_Breath_PGT_20100_Type I_Berry_SRR8349112,,_
1307,sorted_bam/SRR8349364_sorted.bam,-1.77E-49,-2.07E-49,2.08E-51,1.45E-48,SRR8349364,Mendo_Breath_PGT_53887,Type I,Berry,Mendo_Breath_PGT_53887_Type I_Berry_SRR8349364,,_
774,sorted_bam/SRR8347156_sorted.bam,0.009839405,0.012594001,0.089973601,0.03314303,SRR8347156,Mendocino_Clone_Company_Candyland_PGT_108330,Type I,Berry,Mendocino_Clone_Company_Candyland_PGT_108330_Type I_Berry_SRR8347156,,_
137,sorted_bam/SRR8346519_sorted.bam,0.012065417,-0.058028776,0.023653478,0.025303977,SRR8346519,Mendocino_Clone_Company_Purple_Punch_PGT_161658,Type I,Berry,Mendocino_Clone_Company_Purple_Punch_PGT_161658_Type I_Berry_SRR8346519,,_
40,sorted_bam/SRR8346422_sorted.bam,0.021725752,-0.024363863,0.045778305,-0.029700581,SRR8346422,Mendocino_Clone_Company_The_Medicine_PGT_161656,Type I,Berry,Mendocino_Clone_Company_The_Medicine_PGT_161656_Type I_Berry_SRR8346422,,_
362,sorted_bam/SRR8346744_sorted.bam,-0.021227984,-0.014495365,0.057696661,0.010533458,SRR8346744,Mendocino_Purple_PGT_112247,Type I,Berry,Mendocino_Purple_PGT_112247_Type I_Berry_SRR8346744,,_
1095,sorted_bam/SRR8349152_sorted.bam,0.026273691,-0.040120441,0.042150761,0.016214545,SRR8349152,Metolius_PGT_201924,Type I,Berry,Metolius_PGT_201924_Type I_Berry_SRR8349152,,_
64,sorted_bam/SRR8346446_sorted.bam,-0.000441954,-0.002349662,0.014779735,0.018796728,SRR8346446,Miracle_Alien_Cookies_PGT_112238,Type I,Berry,Miracle_Alien_Cookies_PGT_112238_Type I_Berry_SRR8346446,,_
980,sorted_bam/SRR8349037_sorted.bam,0.047995667,-0.013192673,0.000988119,0.023504362,SRR8349037,Mochi_PGT_53895,Type I,Berry,Mochi_PGT_53895_Type I_Berry_SRR8349037,,_
1087,sorted_bam/SRR8349144_sorted.bam,-0.020455676,-0.013105666,0.055843218,0.006913192,SRR8349144,Naked_Lady_PGT_201918,Type I,Berry,Naked_Lady_PGT_201918_Type I_Berry_SRR8349144,,_
1025,sorted_bam/SRR8349082_sorted.bam,0.002184579,0.024918199,0.132925608,0.002402537,SRR8349082,OGKB_PGT_87981,Type I,Berry,OGKB_PGT_87981_Type I_Berry_SRR8349082,,_
157,sorted_bam/SRR8346539_sorted.bam,0.01037059,0.008117712,0.090224654,0.034117969,SRR8346539,OGKB_Girl_Scout_Cookies_PGT_15514,Type I,Berry,OGKB_Girl_Scout_Cookies_PGT_15514_Type I_Berry_SRR8346539,,_
281,sorted_bam/SRR8346663_sorted.bam,0.000132355,0.025889641,0.001947703,-0.019898129,SRR8346663,Orange_Sherbet_PGT_102334,Type I,Berry,Orange_Sherbet_PGT_102334_Type I_Berry_SRR8346663,,_
649,sorted_bam/SRR8347031_sorted.bam,0.005797087,0.002860547,0.085480748,0.033745399,SRR8347031,Pineapple_Calyx_PGT_126650,Type I,Berry,Pineapple_Calyx_PGT_126650_Type I_Berry_SRR8347031,,_
412,sorted_bam/SRR8346794_sorted.bam,0.009026884,0.013942902,0.081159884,0.0327345,SRR8346794,Platinum_Animal_Cookies_PGT_102357,Type I,Berry,Platinum_Animal_Cookies_PGT_102357_Type I_Berry_SRR8346794,,_
376,sorted_bam/SRR8346758_sorted.bam,-0.009223175,-0.006371183,0.055755456,0.018652086,SRR8346758,Platinum_Girl_Scout_Cookies_PGT_119533,Type I,Berry,Platinum_Girl_Scout_Cookies_PGT_119533_Type I_Berry_SRR8346758,,_
111,sorted_bam/SRR8346493_sorted.bam,0.009707423,0.007894409,0.089927642,0.032157903,SRR8346493,Platinum_Girl_Scout_Cookies_PGT_15502,Type I,Berry,Platinum_Girl_Scout_Cookies_PGT_15502_Type I_Berry_SRR8346493,,_
1364,sorted_bam/SRR8349421_sorted.bam,0.010515516,0.014587793,0.089155306,0.032186634,SRR8349421,Platinum_Girl_Scout_Cookies_PGT_20085,Type I,Berry,Platinum_Girl_Scout_Cookies_PGT_20085_Type I_Berry_SRR8349421,,_
4,sorted_bam/SRR8346386_sorted.bam,0.023022919,-0.031244915,0.024854099,0.037062658,SRR8346386,Platinum_Punch_PGT_126685,Type I,Berry,Platinum_Punch_PGT_126685_Type I_Berry_SRR8346386,,_
1099,sorted_bam/SRR8349156_sorted.bam,0.006305561,-0.02679884,-0.014143353,0.028616244,SRR8349156,Platinum_Punch_PGT_198235,Type I,Berry,Platinum_Punch_PGT_198235_Type I_Berry_SRR8349156,,_
