name,hcpc_order,BAR,check
Gorilla_Glue_4_d1_Type I,818,Type I,Gorilla_Glue_4_d1_Type I
Cinex_x_501OG_e1_Type I,819,Type I,Cinex_x_501OG_e1_Type I
White_CC9_a1_Type I,820,Type I,White_CC9_a1_Type I
ADAK_a1_Type I,821,Type I,ADAK_a1_Type I
MCOG_a1_Type I,822,Type I,MCOG_a1_Type I
Chem_91_a1_Type I,823,Type I,Chem_91_a1_Type I
White_Fire_Alien_a1_Type I,824,Type I,White_Fire_Alien_a1_Type I
White_Fire_Alien_OG_a1_Type I,825,Type I,White_Fire_Alien_OG_a1_Type I
Tangerine_OG_a1_Type I,826,Type I,Tangerine_OG_a1_Type I
Hell_Hound_a1_Type I,827,Type I,Hell_Hound_a1_Type I
Blackberry_Headband_a1_Type I,828,Type I,Blackberry_Headband_a1_Type I
Ace_of_Spades_a1_Type I,829,Type I,Ace_of_Spades_a1_Type I
Animal_Cookies_c1_Type I,830,Type I,Animal_Cookies_c1_Type I
P91_b1_Hemp,831,Hemp,P91_b1_Hemp
Sanoma_Coma_a1_Type I,832,Type I,Sanoma_Coma_a1_Type I
Star_Fighter_F2_a1_Type I,833,Type I,Star_Fighter_F2_a1_Type I
Berry_Gumboldt_Pollen_a1_Type I,834,Type I,Berry_Gumboldt_Pollen_a1_Type I
Chemdawg_a1_Type I,835,Type I,Chemdawg_a1_Type I
Chemdawg_Hybrid_a1_Type I,836,Type I,Chemdawg_Hybrid_a1_Type I
Agent_Orange_x_501OG_e1_Type I,837,Type I,Agent_Orange_x_501OG_e1_Type I
Dead_Head_OG_a1_Type I,838,Type I,Dead_Head_OG_a1_Type I
Sour_Flower_a1_Type I,839,Type I,Sour_Flower_a1_Type I
Darkheart_1_a1_Type I,840,Type I,Darkheart_1_a1_Type I
Agent_Orange_x_501OG_a1_Type I,841,Type I,Agent_Orange_x_501OG_a1_Type I
Agent_Orange_x_501OG_d1_Type I,842,Type I,Agent_Orange_x_501OG_d1_Type I
Gorilla_Glue_4_h1_Type I,843,Type I,Gorilla_Glue_4_h1_Type I
Gorilla_Glue_4_f1_Type I,844,Type I,Gorilla_Glue_4_f1_Type I
Omega_Dawg_a1_Type,845,Type I,Omega_Dawg_a1_Type I
