name,hcpc_order,check,BAR
Tangerine_Type I_F_RSP10244,254,Tangerine_Type I_F_RSP10244,Type I
Afghan_Kush_no info_F_RSP10107,255,Afghan_Kush_no info_F_RSP10107,no info
Special_K_X_Chronic_Kushberry_no info_F_RSP10418,256,Special_K_X_Chronic_Kushberry_no info_F_RSP10418,no info
OG_Kush_X_Super_Silver_Haze_no info_not reported_RSP10401,257,OG_Kush_X_Super_Silver_Haze_no info_not reported_RSP10401,no info
Blueberry_Cheesecake_13_no info_not reported_RSP10682,258,Blueberry_Cheesecake_13_no info_not reported_RSP10682,no info
Bubba_Kush_no info_F_RSP10164,259,Bubba_Kush_no info_F_RSP10164,no info
OG_Kush_X_Meadband_X_Master_Kush_no info_F_RSP10410,260,OG_Kush_X_Meadband_X_Master_Kush_no info_F_RSP10410,no info
Blueberry_no info_F_RSP10597,261,Blueberry_no info_F_RSP10597,no info
Glueberry_Type I_F_RSP10703,262,Glueberry_Type I_F_RSP10703,Type I
Gorilla_Glue_4_no info_not reported_RSP10471,263,Gorilla_Glue_4_no info_not reported_RSP10471,no info
Corleone_Kush_no info_F_RSP10135,264,Corleone_Kush_no info_F_RSP10135,no info
Pure_Kush_X_808_OG_Kush_no info_not reported_RSP10402,265,Pure_Kush_X_808_OG_Kush_no info_not reported_RSP10402,no info
OG_Kush_X_Pure_Kush_no info_not reported_RSP10398,266,OG_Kush_X_Pure_Kush_no info_not reported_RSP10398,no info
Sugar_Cookies_no info_F_RSP10137,267,Sugar_Cookies_no info_F_RSP10137,no info
G4X_San_Fernando_Monster_no info_not reported_RSP10397,268,G4X_San_Fernando_Monster_no info_not reported_RSP10397,no info
GFU_x_Mr_Nice_no info_F_RSP10145,269,GFU_x_Mr_Nice_no info_F_RSP10145,no info
Blueberry_Cheesecake_1_Type I_F_RSP10201,270,Blueberry_Cheesecake_1_Type I_F_RSP10201,Type I
Brain_Wreck_no info_F_RSP10421,271,Brain_Wreck_no info_F_RSP10421,no info
Citrus_Sap_no info_M_RSP10292,272,Citrus_Sap_no info_M_RSP10292,no info
1988_Hash_Plant_no info_F_RSP10156,273,1988_Hash_Plant_no info_F_RSP10156,no info
Strawberry_Cough_1_Type I_F_RSP10679,274,Strawberry_Cough_1_Type I_F_RSP10679,Type I
Strawberry_Cough_2_no info_not reported_RSP10681,275,Strawberry_Cough_2_no info_not reported_RSP10681,no info
Charlie_Murphy_no info_F_RSP10134,276,Charlie_Murphy_no info_F_RSP10134,no info
Grape_Ape_1_Type I_F_RSP10248,277,Grape_Ape_1_Type I_F_RSP10248,Type I
Grape_Ape_2_Type I_F_RSP10250,278,Grape_Ape_2_Type I_F_RSP10250,Type I
Super_Silver_White_Widow_X_C4_no info_F_RSP10422,279,Super_Silver_White_Widow_X_C4_no info_F_RSP10422,no info
Girl_Scout_Cookies_2_no info_F_RSP10141,280,Girl_Scout_Cookies_2_no info_F_RSP10141,no info
Girl_Scout_Cookies_4_no info_F_RSP10413,281,Girl_Scout_Cookies_4_no info_F_RSP10413,no info
Purple_Erkel_X_Girl_Scout_Cookies_no info_F_RSP10414,282,Purple_Erkel_X_Girl_Scout_Cookies_no info_F_RSP10414,no info
