,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,,HCPC
42,sorted_bam/SRR3495197_1_sort.bam,0.095754597,0.007685834,-0.041132885,-0.000986673,Jack_Skellington,Type I,_,Jack_Skellington_Type I
43,sorted_bam/SRR3495198_1_sort.bam,0.044518968,0.035778248,-0.095352754,-0.060483869,Afghan_Mango_1,Type I,_,Afghan_Mango_1_Type I
44,sorted_bam/SRR3495199_1_sort.bam,-0.089861183,0.06181998,-0.06249356,0.107552222,The_Sauce_1,Type I,_,The_Sauce_1_Type I
45,sorted_bam/SRR3495200_1_sort.bam,0.022502043,-0.020212734,-0.025552078,0.167753841,Blue_Dream_1,Type I,_,Blue_Dream_1_Type I
46,sorted_bam/SRR3495201_1_sort.bam,0.057015143,0.050520254,0.129059021,-0.005741236,Cherry,Type I,_,Cherry_Type I
47,sorted_bam/SRR3495202_1_sort.bam,-0.004496925,0.067806593,0.055690642,-0.035879326,CHP_-_indica_Hemp,Hemp,_,CHP_-_indica_Hemp_Hemp
48,sorted_bam/SRR3495203_1_sort.bam,-0.071497325,0.049592727,0.000498189,-0.017908397,Holy_Grail_1,Type I,_,Holy_Grail_1_Type I
49,sorted_bam/SRR3495204_1_sort.bam,-0.031271478,-0.102289886,0.070078821,0.06116269,San_Fran_Valley_OG_Kush,Type I,_,San_Fran_Valley_OG_Kush_Type I
50,sorted_bam/SRR3495205_1_sort.bam,-0.109516578,0.113742584,-0.154053755,0.044439523,Headband,Type I,_,Headband_Type I
51,sorted_bam/SRR3495206_1_sort.bam,-0.00340841,-0.0248335,0.061978108,-0.061294403,Kool_Aid_Kush,Type I,_,Kool_Aid_Kush_Type I
52,sorted_bam/SRR3495207_1_sort.bam,-0.122814711,-0.053337417,0.062489275,0.009649287,Glass_Slipper,Type I,_,Glass_Slipper_Type I
53,sorted_bam/SRR3495208_1_sort.bam,-0.000707603,-0.084852684,0.078909576,0.070813436,Goast_Train_Haze,Type I,_,Goast_Train_Haze_Type I
54,sorted_bam/SRR3495209_1_sort.bam,0.015185789,-0.004015167,0.053492032,0.029395931,King_Chem,Type I,_,King_Chem_Type I
55,sorted_bam/SRR3495210_1_sort.bam,-0.01015303,0.083908697,-0.000151487,0.019983971,Perma_Frost,Type I,_,Perma_Frost_Type I
56,sorted_bam/SRR3495211_1_sort.bam,0.086729926,-0.036389777,0.025713232,-0.091912234,Mango_Stomper,Type I,_,Mango_Stomper_Type I
57,sorted_bam/SRR3495212_1_sort.bam,0.067811394,0.082656398,0.005232413,-0.017657391,Lambo,Type I,_,Lambo_Type I
58,sorted_bam/SRR3495213_1_sort.bam,0.048376056,0.096970592,0.111174048,0.003531341,Appalachian_Mad_Sun,Unknown,_,Appalachian_Mad_Sun_Unknown
59,sorted_bam/SRR3495214_1_sort.bam,0.05009448,0.052447159,0.12327196,0.001118807,CBD-0,Type III,_,CBD-0_Type III
60,sorted_bam/SRR3495215_1_sort.bam,-0.056147281,0.042875848,0.050531639,0.009403723,CBD18,Type III,_,CBD18_Type III
61,sorted_bam/SRR3495216_1_sort.bam,0.01310307,0.114034451,-0.091108733,0.06824329,Sshrek,Type I,_,Sshrek_Type I
62,sorted_bam/SRR3495217_1_sort.bam,0.010667348,0.085764716,-0.031168739,0.015957778,Grapefruit_Diesel,Type I,_,Grapefruit_Diesel_Type I
63,sorted_bam/SRR3495218_1_sort.bam,0.071869602,0.011831655,-0.014489647,0.034119191,Golden_Boat,Type I,_,Golden_Boat_Type I
64,sorted_bam/SRR3495219_1_sort.bam,-0.007974649,-0.031034832,0.030697997,-0.050914668,MKLA,Type I,_,MKLA_Type I
65,sorted_bam/SRR3495220_1_sort.bam,0.0561697,-0.012501995,0.017431818,-0.022766566,Cript_out_Cookies,Type I,_,Cript_out_Cookies_Type I
66,sorted_bam/SRR3495221_1_sort.bam,0.118324286,-0.066176883,-0.006501284,-0.140556696,Girl_Scout_Cookies_3,Type I,_,Girl_Scout_Cookies_3_Type I
67,sorted_bam/SRR3495222_1_sort.bam,0.005142936,-0.032136201,-0.013057946,0.026683325,Jack_Flash,Type I,_,Jack_Flash_Type I
68,sorted_bam/SRR3495223_1_sort.bam,0.012610248,0.075145688,-0.05764562,-0.042719184,Char_Tango,Type I,_,Char_Tango_Type I
69,sorted_bam/SRR3495224_1_sort.bam,0.057976532,0.072775625,0.122018365,0.010853606,Otto,Type III,_,Otto_Type III
70,sorted_bam/SRR3495225_1_sort.bam,0.057595777,0.091961076,0.175830875,0.009565177,Z7,Unknown,_,Z7_Unknown
71,sorted_bam/SRR3495226_1_sort.bam,0.055220208,0.077551439,0.145019495,0.013469901,Spectrum-11,Type III,_,Spectrum-11_Type III
72,sorted_bam/SRR3495227_1_sort.bam,0.030726071,-0.136173699,-0.048281662,0.067468264,Spectrum-14,Type III,_,Spectrum-14_Type III
73,sorted_bam/SRR3495228_1_sort.bam,0.000587461,-0.112856489,-0.051454539,-0.218670526,Nuclear_Fruit,Type I,_,Nuclear_Fruit_Type I
74,sorted_bam/SRR3495229_1_sort.bam,0.047522824,-0.11524677,0.018062854,0.105005398,Snowcap_1,Type I,_,Snowcap_1_Type I
75,sorted_bam/SRR3495230_1_sort.bam,0.073363877,-0.047526117,-0.052628929,-0.138887111,Holy_Grail_Kush,Type I,_,Holy_Grail_Kush_Type I
76,sorted_bam/SRR3495231_1_sort.bam,0.024245973,-0.129229358,-0.040643288,0.064839871,Jack_Herer_2,Type I,_,Jack_Herer_2_Type I
77,sorted_bam/SRR3495232_1_sort.bam,-0.007664839,-0.008115301,-0.002178663,-0.020614695,Gin_1,Unknown,_,Gin_1_Unknown
78,sorted_bam/SRR3495233_1_sort.bam,-0.031423073,0.107248644,0.034817311,-0.046542467,AZ_Star_#1,Unknown,_,AZ_Star_#1_Unknown
79,sorted_bam/SRR3495234_1_sort.bam,-0.105155594,0.042297746,0.044047428,-0.020355938,Kosher_Kush_3,Type I,_,Kosher_Kush_3_Type I
80,sorted_bam/SRR3495235_1_sort.bam,-0.078221111,0.066137646,-0.058876691,0.110736468,The_Sauce_2,Type I,_,The_Sauce_2_Type I
81,sorted_bam/SRR3495236_1_sort.bam,0.060932973,-0.059725156,-0.130692215,0.184233932,Afghan_Mango_2,Type I,_,Afghan_Mango_2_Type I
82,sorted_bam/SRR3495237_1_sort.bam,0.062868434,0.017528954,0.066259989,-0.106665671,Cherry_Afghan,Type I,_,Cherry_Afghan_Type I
83,sorted_bam/SRR3495238_1_sort.bam,0.063307182,0.133213843,-0.056632635,0.073965164,Grape_Kush_1,Type I,_,Grape_Kush_1_Type I
84,sorted_bam/SRR3495239_1_sort.bam,-0.004338085,-0.067505989,0.052341263,0.066748401,Girl_Scout_Cookies_2,Type I,_,Girl_Scout_Cookies_2_Type I
85,sorted_bam/SRR3495240_1_sort.bam,-0.124518272,0.063309169,-0.029078009,-0.107822179,King_Louie_Cookies,Type I,_,King_Louie_Cookies_Type I
